i exec;duracao (ms);hora início;hora fim
1;78.10211181640625;2019-10-08 03:58:05.748621;2019-10-08 03:58:05.826723
2;140.59185981750488;2019-10-08 03:58:05.873550;2019-10-08 03:58:06.014142
3;93.76764297485352;2019-10-08 03:58:06.061006;2019-10-08 03:58:06.154774
4;109.30204391479492;2019-10-08 03:58:06.201645;2019-10-08 03:58:06.310947
5;140.5928134918213;2019-10-08 03:58:06.357813;2019-10-08 03:58:06.498406
6;109.34901237487793;2019-10-08 03:58:06.951462;2019-10-08 03:58:07.060811
7;156.21232986450195;2019-10-08 03:58:07.107635;2019-10-08 03:58:07.263848
8;109.37094688415527;2019-10-08 03:58:07.310729;2019-10-08 03:58:07.420100
9;140.58685302734375;2019-10-08 03:58:07.466971;2019-10-08 03:58:07.607558
10;78.14431190490723;2019-10-08 03:58:07.654381;2019-10-08 03:58:07.732526
