n;maximo;minimo;media
10.0;0.0;0.0;0.0
25.0;0.0;0.0;0.0
50.0;15.62047004699707;0.0;1.562047004699707
75.0;0.0;0.0;0.0
100.0;0.0;0.0;0.0
250.0;15.614748001098633;0.0;1.5614748001098633
500.0;15.666007995605467;0.0;7.810783386230469
750.0;15.660524368286133;0.0;9.382343292236328
1000.0;15.670299530029295;0.0;7.8192949295043945
2500.0;46.86665534973145;15.587091445922852;32.791876792907715
5000.0;93.7659740447998;46.86760902404785;74.99489784240723
7500.0;156.21232986450198;78.10211181640625;115.6019926071167
10000.0;218.64962577819824;109.30919647216795;143.7077283859253
25000.0;390.5701637268066;343.62077713012695;368.6490774154663
50000.0;1259.807586669922;796.7255115509033;938.2955551147461
75000.0;1749.589204788208;1265.2900218963625;1514.712905883789
100000.0;2249.5102882385254;1666.2919521331787;2013.0613565444946
250000.0;8685.410499572754;5342.527627944946;6686.400675773621
500000.0;15730.661392211914;11538.764715194702;12786.564326286316
750000.0;20776.36027336121;17105.311155319214;17956.210589408875
1000000.0;24072.46494293213;23025.79379081726;23507.825875282288
2500000.0;60735.07881164551;58923.6798286438;59638.88022899628
5000000.0;134062.2193813324;122330.62505722044;125345.53692340851
7500000.0;198640.83957672122;191533.10060501102;194773.19338321686
