i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 03:14:58.440812;2019-10-08 03:14:58.440812
2;15.614748001098633;2019-10-08 03:14:58.440812;2019-10-08 03:14:58.456427
3;0.0;2019-10-08 03:14:58.456427;2019-10-08 03:14:58.456427
4;0.0;2019-10-08 03:14:58.487662;2019-10-08 03:14:58.487662
5;0.0;2019-10-08 03:14:58.503283;2019-10-08 03:14:58.503283
6;0.0;2019-10-08 03:14:58.503283;2019-10-08 03:14:58.503283
7;0.0;2019-10-08 03:14:58.534526;2019-10-08 03:14:58.534526
8;0.0;2019-10-08 03:14:58.550145;2019-10-08 03:14:58.550145
9;0.0;2019-10-08 03:14:58.565767;2019-10-08 03:14:58.565767
10;0.0;2019-10-08 03:14:58.597053;2019-10-08 03:14:58.597053
