i exec;duracao (ms);hora início;hora fim
1;1.0089874267578125;2019-10-08 20:03:14.173798;2019-10-08 20:03:14.174807
2;1.0519027709960938;2019-10-08 20:03:14.182879;2019-10-08 20:03:14.183930
3;1.0614395141601562;2019-10-08 20:03:14.192044;2019-10-08 20:03:14.193106
4;1.0285377502441406;2019-10-08 20:03:14.194043;2019-10-08 20:03:14.195072
5;1.049041748046875;2019-10-08 20:03:14.203958;2019-10-08 20:03:14.205007
6;0.9741783142089844;2019-10-08 20:03:14.205980;2019-10-08 20:03:14.206954
7;0.9937286376953125;2019-10-08 20:03:14.217025;2019-10-08 20:03:14.218019
8;1.041412353515625;2019-10-08 20:03:14.225835;2019-10-08 20:03:14.226877
9;0.0;2019-10-08 20:03:14.237350;2019-10-08 20:03:14.237350
10;1.0190010070800781;2019-10-08 20:03:14.238245;2019-10-08 20:03:14.239264
