i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-07 22:41:50.662430;2019-10-07 22:41:50.662430
2;0.0;2019-10-07 22:41:50.662430;2019-10-07 22:41:50.662430
3;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
4;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
5;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
6;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
7;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
8;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
9;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
10;0.0;2019-10-07 22:41:50.678055;2019-10-07 22:41:50.678055
