i exec;duracao (ms);hora início;hora fim
1;75513.49091529846;2019-10-07 22:59:58.068939;2019-10-07 23:01:13.582430
2;68544.55971717834;2019-10-07 23:02:23.976330;2019-10-07 23:03:32.520890
3;61282.47928619385;2019-10-07 23:06:00.266127;2019-10-07 23:07:01.548606
4;62245.5358505249;2019-10-07 23:09:52.373999;2019-10-07 23:10:54.619535
5;61000.03266334534;2019-10-07 23:12:04.745923;2019-10-07 23:13:05.745956
6;60376.56044960022;2019-10-07 23:14:55.971269;2019-10-07 23:15:56.347830
7;59657.84478187561;2019-10-07 23:18:32.468802;2019-10-07 23:19:32.126647
8;60796.47183418274;2019-10-07 23:21:59.479031;2019-10-07 23:23:00.275502
9;61042.92702674866;2019-10-07 23:24:34.627819;2019-10-07 23:25:35.670746
10;61657.41467475891;2019-10-07 23:27:31.427190;2019-10-07 23:28:33.084605
