i exec;duracao (ms);hora início;hora fim
1;74888.61680030823;2019-10-08 02:20:47.381282;2019-10-08 02:22:02.269899
2;77574.23400878906;2019-10-08 02:22:27.797039;2019-10-08 02:23:45.371274
3;78304.3258190155;2019-10-08 02:24:09.428949;2019-10-08 02:25:27.733275
4;86745.19681930542;2019-10-08 02:25:52.041358;2019-10-08 02:27:18.786555
5;77778.63144874573;2019-10-08 02:27:43.358899;2019-10-08 02:29:01.137530
6;76794.40259933472;2019-10-08 02:29:25.194366;2019-10-08 02:30:41.988768
7;77684.85975265503;2019-10-08 02:31:06.576739;2019-10-08 02:32:24.261598
8;77700.48308372498;2019-10-08 02:32:48.426438;2019-10-08 02:34:06.126921
9;77700.47688484192;2019-10-08 02:34:30.527390;2019-10-08 02:35:48.227866
10;77997.28584289551;2019-10-08 02:36:12.394059;2019-10-08 02:37:30.391345
