i exec;duracao (ms);hora início;hora fim
1;130594.34080123901;2019-10-08 02:42:58.122792;2019-10-08 02:45:08.717133
2;120003.03363800049;2019-10-08 02:45:45.411580;2019-10-08 02:47:45.414614
3;119675.02737045288;2019-10-08 02:48:21.906037;2019-10-08 02:50:21.581065
4;119548.08378219604;2019-10-08 02:50:58.259890;2019-10-08 02:52:57.807974
5;118394.03629302979;2019-10-08 02:53:34.643602;2019-10-08 02:55:33.037638
6;118690.8860206604;2019-10-08 02:56:10.123089;2019-10-08 02:58:08.813976
7;120299.8435497284;2019-10-08 02:58:45.289768;2019-10-08 03:00:45.589611
8;119501.21736526489;2019-10-08 03:01:22.128772;2019-10-08 03:03:21.629990
9;118690.88077545166;2019-10-08 03:03:58.637303;2019-10-08 03:05:57.328184
10;128126.11031532288;2019-10-08 03:06:34.178889;2019-10-08 03:08:42.304999
