i exec;duracao (ms);hora início;hora fim
1;39881.23846054077;2019-10-08 00:03:13.201365;2019-10-08 00:03:53.082604
2;37439.10312652588;2019-10-08 00:04:05.970201;2019-10-08 00:04:43.409305
3;42115.14401435852;2019-10-08 00:04:58.030867;2019-10-08 00:05:40.146011
4;39834.42211151123;2019-10-08 00:05:55.501732;2019-10-08 00:06:35.336154
5;38647.11046218872;2019-10-08 00:06:49.176659;2019-10-08 00:07:27.823769
6;31867.54298210144;2019-10-08 00:07:39.963161;2019-10-08 00:08:11.830704
7;31492.643356323242;2019-10-08 00:08:23.718498;2019-10-08 00:08:55.211141
8;31742.574453353882;2019-10-08 00:09:07.520695;2019-10-08 00:09:39.263269
9;31789.437294006348;2019-10-08 00:09:51.291655;2019-10-08 00:10:23.081093
10;32648.610591888428;2019-10-08 00:10:35.000127;2019-10-08 00:11:07.648738
