i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 00:01:37.148237;2019-10-08 00:01:37.148237
2;0.0;2019-10-08 00:01:37.163850;2019-10-08 00:01:37.163850
3;0.0;2019-10-08 00:01:37.163850;2019-10-08 00:01:37.163850
4;0.0;2019-10-08 00:01:37.179428;2019-10-08 00:01:37.179428
5;0.0;2019-10-08 00:01:37.179428;2019-10-08 00:01:37.179428
6;0.0;2019-10-08 00:01:37.195049;2019-10-08 00:01:37.195049
7;0.0;2019-10-08 00:01:37.195049;2019-10-08 00:01:37.195049
8;0.0;2019-10-08 00:01:37.210670;2019-10-08 00:01:37.210670
9;0.0;2019-10-08 00:01:37.210670;2019-10-08 00:01:37.210670
10;0.0;2019-10-08 00:01:37.226292;2019-10-08 00:01:37.226292
