i exec;duracao (ms);hora início;hora fim
1;87470.40748596191;2019-10-09 21:07:47.920173;2019-10-09 21:09:15.390581
2;90115.04030227661;2019-10-09 21:09:15.402992;2019-10-09 21:10:45.518032
3;91139.80174064636;2019-10-09 21:10:45.536421;2019-10-09 21:12:16.676222
4;113181.77652359009;2019-10-09 21:12:16.688613;2019-10-09 21:14:09.870390
5;89205.05452156067;2019-10-09 21:14:09.888971;2019-10-09 21:15:39.094026
6;89696.69604301453;2019-10-09 21:15:39.106390;2019-10-09 21:17:08.803086
7;89868.06511878967;2019-10-09 21:17:08.813350;2019-10-09 21:18:38.683455
8;88536.08226776123;2019-10-09 21:18:38.693821;2019-10-09 21:20:07.229903
9;90003.93652915955;2019-10-09 21:20:07.248274;2019-10-09 21:21:37.252211
10;92527.68230438232;2019-10-09 21:21:37.280660;2019-10-09 21:23:09.808343
