i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 01:01:42.255773;2019-10-08 01:01:42.255773
2;0.0;2019-10-08 01:01:42.599483;2019-10-08 01:01:42.599483
3;0.0;2019-10-08 01:01:42.599483;2019-10-08 01:01:42.599483
4;0.0;2019-10-08 01:01:42.661929;2019-10-08 01:01:42.661929
5;0.0;2019-10-08 01:01:42.661929;2019-10-08 01:01:42.661929
6;0.0;2019-10-08 01:01:42.661929;2019-10-08 01:01:42.661929
7;0.0;2019-10-08 01:01:42.661929;2019-10-08 01:01:42.661929
8;0.0;2019-10-08 01:01:42.661929;2019-10-08 01:01:42.661929
9;0.0;2019-10-08 01:01:42.677550;2019-10-08 01:01:42.677550
10;0.0;2019-10-08 01:01:42.677550;2019-10-08 01:01:42.677550
