i exec;duracao (ms);hora início;hora fim
1;15.34128189086914;2019-10-08 00:57:34.626934;2019-10-08 00:57:34.642275
2;0.0;2019-10-08 00:57:34.657897;2019-10-08 00:57:34.657897
3;0.0;2019-10-08 00:57:34.673517;2019-10-08 00:57:34.673517
4;0.0;2019-10-08 00:57:34.689138;2019-10-08 00:57:34.689138
5;0.0;2019-10-08 00:57:34.720383;2019-10-08 00:57:34.720383
6;15.584230422973633;2019-10-08 00:57:34.736039;2019-10-08 00:57:34.751623
7;0.0;2019-10-08 00:57:34.767247;2019-10-08 00:57:34.767247
8;0.0;2019-10-08 00:57:34.782867;2019-10-08 00:57:34.782867
9;0.0;2019-10-08 00:57:34.798532;2019-10-08 00:57:34.798532
10;0.0;2019-10-08 00:57:34.814149;2019-10-08 00:57:34.814149
